입국자국가,국가코드,입국연월,입국자 수
일  본,130,202401,143152
일  본,130,202402,183999
일  본,130,202403,338742
일  본,130,202404,229252
일  본,130,202405,278423
일  본,130,202406,258431
일  본,130,202407,242953
일  본,130,202408,323465
일  본,130,202409,310652
일  본,130,202410,323266
일  본,130,202411,341198
일  본,130,202412,250546
일  본,130,202501,174717
일  본,130,202502,224482
일  본,130,202503,383312
일  본,130,202504,257903
일  본,130,202505,291626
일  본,130,202506,287140
일  본,130,202507,299782
일  본,130,202508,378852
일  본,130,202509,370709
일  본,130,202510,316776
일  본,130,202511,362879
일  본,130,202512,304959
